sku,name,categories,qtyPerPack,quantity,manufacturer,image,basePrice,measureunit,visible
11753,Algota Alnajaf säilyke Etikka 1400g Lasi,62,6,99999,Algota,catalog/11753.JPG,"24,339",kg,true
11754,Algota Al Najaf säilyke Etikka 3kg Lasi,62,4,99999,Algota,catalog/11754.JPG,"27,820",kg,true
11752,Algota Alnajaf säilyke Etikka 720cc lasi,62,6,99999,Algota,catalog/11752.JPG,"13,905",kg,true
11750,Algota Alnajaf säilyke Melassi 1400g Lasi,62,6,99999,Algota,catalog/11750.JPG,"25,112",kg,true
11751,Algota Alnajaf säilyke Melassi 3 kg lasi,62,4,99999,Algota,catalog/11751.JPG,"27,820",kg,true
11749,Algota Alnajaf säilyke Melassi 720cc lasi,62,6,99999,Algota,catalog/11749.JPG,"13,905",kg,true
11742,Algota Mango säilyke Pickles Anba 1400g Lasi,62,6,99999,Algota,catalog/11742.JPG,"24,339",kg,true
11744,Algota Mango säilyke Anba Pickles 3 kg lasi,62,4,99999,Algota,catalog/11744.JPG,"27,820",kg,true
11741,Algota Mango säilyke Pickles Anba 720cc lasi,62,12,99999,Algota,catalog/11741.JPG,"27,810",kg,true
11743,Algota Mango säilyke Pickles Anba tulinen 1400g Lasi,62,6,99999,Algota,catalog/11743.JPG,"24,339",kg,true
11745,Algota Mango säilyke Pickles Anba tulinen 3 kg lasi,62,4,99999,Algota,catalog/11745.JPG,"27,820",kg,true
11740,Algota Mango suolakurkku Pickles Anba tulinen 720cc lasi,62,12,99999,Algota,catalog/11740.JPG,"27,810",kg,true
11747,Algota Mousl säilyke kokonainen 1400g Lasi,62,6,99999,Algota,catalog/11747.JPG,"24,339",kg,true
11748,Algota Mousl säilyke kokonainen 3 kg lasi,62,4,99999,Algota,catalog/11748.JPG,"27,820",kg,true
11746,Algota Mousl säilyke kokonainen 720cc lasi,62,12,99999,Algota,catalog/11746.JPG,"27,810",kg,true
11410,Aruba Muhalabia 200g,62,24,99999,Aruba,catalog/11410.JPG,"27,794",kg,true
775,Aruba Muhalabia 400g Meghli orig. Libanon,62,12,99999,Aruba,catalog/775.JPG,"24,718",kg,true
3746,Taateli Siirappi 450g Basra,62,12,99999,Basra,catalog/3746.JPG,"26,264",kg,true
11039,Iraak Foul Naz 400g,62,24,99999,Naz,catalog/11039.JPG,"21,611",kg,true
6811,Iraak Foul Naz 800g,62,12,99999,Naz,catalog/6811.JPG,"17,916",kg,true
11580,Iran carpus Cekirdek kernels 200g vesimeloni,62,28,99999,Naz,catalog/11580.JPG,"79,317",kg,true
921,Iranian kastike Kashak 230g,62,24,99999,Kambiz,catalog/921.JPG,"64,894",kg,true
11054,Iranian kastike Kashak 410g,62,24,99999,Kambiz,catalog/11054.JPG,"63,658",kg,true
11053,Iranian kastike Kashak 690g,62,12,99999,Kambiz,catalog/11053.JPG,"47,287",kg,true
2827,Mologie getr. 200g Leaves NAIM,62,20,99999,NAIM,catalog/2827.JPG,"48,926",kg,true
1212,Saħħa jumbo green olives 2900g,62,4,99999,Sahha,catalog/1212.JPG,"34,519",kg,true
1019,Chtoura Aubergiene kuorittu ja grillattu 585g glass,63,12,99999,Chtoura,catalog/1019.JPG,"29,356",kg,true
494,Chtoura eggplant upotettu 600g Makdous,63,12,99999,Chtoura,catalog/494.JPG,"60,272",kg,true
11809,Chtoura Babaganauch 185g annos munakoiso Pure Eggplant Dip,63,24,99999,Chtoura,catalog/11809.JPG,"24,703",kg,true
488,Chtoura Babaganauch 310g annos eggplant Purree,63,24,99999,Chtoura,catalog/488.JPG,"30,886",kg,true
7256,Chtoura Bajila pavut 400g,63,24,99999,Chtoura,catalog/7256.JPG,"21,611",kg,true
3655,Chtoura Bajila pavut 800g tin,63,12,99999,Chtoura,catalog/3655.JPG,"18,535",kg,true
1480,Chtoura Blackberry syrup 600ml Raspberry,63,12,99999,Chtoura,catalog/1480.JPG,"37,085",kg,true
3022,Chtoura Kukkaisvesi appelsiini 500ml,63,12,99999,Chtoura,catalog/3022.JPG,"17,916",kg,true
9812,63 Kukkaisvesi appelsiini 250ml ,63,24,99999,Chtoura,catalog/9812.JPG,"21,611",kg,true
3030,Chtoura Falafel 200g,63,24,99999,Chtoura,catalog/3030.JPG,"30,886",kg,true
6316,Chtoura Foul 400g Kurdish Lebanon,63,24,99999,Chtoura,catalog/6316.JPG,"17,282",kg,true
6317,Chtoura Foul 400g recipe Syrian,63,24,99999,Chtoura,catalog/6317.JPG,"17,282",kg,true
11514,Chtoura Foul 400g Saudi Arabia KSA Reseptillä,63,24,99999,Chtoura,catalog/11514.JPG,"17,282",kg,true
4962,Chtoura Foul 420g Armenia,63,24,99999,Chtoura,catalog/4962.JPG,"17,282",kg,true
137,Chtoura Foul 420g annos Tavallinen,63,24,99999,Chtoura,catalog/137.JPG,"17,282",kg,true
468,Chtoura Foul 420g Medammas Egyptiläinen,63,24,99999,Chtoura,catalog/468.JPG,"17,282",kg,true
487,Chtoura challenge 420g Medammas Chilillä,63,24,99999,Chtoura,catalog/487.JPG,"17,282",kg,true
335,Chtoura challenge 420g Medammes Libanonilainen,63,24,99999,Chtoura,catalog/335.JPG,"17,282",kg,true
763,Chtoura Foul 420g Medammes Palestina,63,24,99999,Chtoura,catalog/763.JPG,"17,282",kg,true
773,Chtoura challenge 420g pavut / kikherneet,63,24,99999,Chtoura,catalog/773.JPG,"17,282",kg,true
138,Chtoura challenge 420g with kimyon / kumina,63,24,99999,Chtoura,catalog/138.JPG,"17,282",kg,true
11150,Chtoura Foul 600g chilli ,63,12,99999,Chtoura,catalog/11150.JPG,"10,805",kg,true
10344,Chtoura Foul 600g Libanes Herneet,63,12,99999,Chtoura,catalog/10344.JPG,"10,805",kg,true
